iter	Passed	Remaining
0	160	160604
1	163	81467
2	172	57217
3	176	43984
4	181	36067
5	185	30761
6	189	26910
7	192	23897
8	195	21503
9	197	19551
10	199	17937
11	201	16580
12	203	15417
13	204	14418
14	206	13534
15	207	12754
16	208	12067
17	209	11455
18	211	10907
19	212	10416
20	213	9968
21	215	9564
22	216	9197
23	217	8859
24	219	8548
25	220	8265
26	221	7999
27	223	7750
28	224	7519
29	225	7303
30	227	7101
31	228	6911
32	229	6735
33	231	6566
34	232	6408
35	233	6261
36	235	6122
37	236	5992
38	238	5865
39	239	5745
40	240	5629
41	242	5520
42	243	5415
43	244	5315
44	245	5219
45	247	5127
46	248	5039
47	249	4955
48	251	4875
49	252	4801
50	254	4727
51	255	4655
52	256	4585
53	257	4519
54	259	4454
55	260	4386
56	261	4326
57	262	4268
58	264	4212
59	265	4159
60	266	4106
61	268	4055
62	269	4009
63	270	3962
64	272	3916
65	273	3872
66	275	3829
67	276	3787
68	277	3745
69	278	3705
70	280	3666
71	281	3628
72	282	3592
73	284	3556
74	285	3524
75	287	3490
76	288	3457
77	289	3424
78	291	3393
79	292	3362
80	293	3332
81	295	3305
82	296	3276
83	297	3248
84	299	3220
85	300	3193
86	302	3169
87	303	3144
88	304	3119
89	306	3094
90	307	3070
91	308	3047
92	310	3023
93	311	3001
94	312	2979
95	314	2956
96	315	2935
97	316	2914
98	318	2896
99	319	2877
100	320	2856
101	322	2837
102	323	2818
103	324	2799
104	326	2780
105	327	2762
106	328	2744
107	330	2726
108	331	2709
109	332	2692
110	334	2679
111	336	2664
112	337	2648
113	338	2632
114	340	2616
115	341	2601
116	342	2586
117	344	2571
118	345	2556
119	346	2541
120	347	2527
121	349	2514
122	350	2501
123	352	2487
124	353	2473
125	354	2460
126	356	2447
127	357	2434
128	358	2421
129	360	2409
130	361	2396
131	362	2383
132	363	2372
133	365	2360
134	366	2349
135	368	2337
136	369	2326
137	370	2315
138	371	2303
139	373	2292
140	374	2281
141	375	2271
142	377	2260
143	378	2249
144	379	2239
145	381	2228
146	382	2219
147	383	2209
148	385	2199
149	386	2189
150	387	2180
151	389	2170
152	390	2160
153	391	2151
154	392	2142
155	394	2133
156	395	2124
157	396	2115
158	398	2108
159	399	2099
160	401	2090
161	402	2081
162	403	2073
163	405	2064
164	406	2056
165	407	2047
166	408	2039
167	410	2032
168	411	2024
169	413	2016
170	414	2009
171	415	2002
172	417	1994
173	418	1987
174	419	1979
175	421	1971
176	422	1964
177	423	1957
178	425	1949
179	426	1942
180	427	1935
181	429	1928
182	431	1924
183	432	1918
184	433	1911
185	435	1904
186	436	1897
187	437	1891
188	439	1884
189	440	1877
190	441	1871
191	443	1864
192	444	1858
193	445	1852
194	447	1847
195	448	1840
196	450	1834
197	451	1828
198	452	1822
199	454	1816
200	455	1809
201	456	1803
202	457	1797
203	459	1791
204	460	1785
205	461	1780
206	463	1774
207	464	1769
208	465	1763
209	467	1757
210	468	1751
211	469	1746
212	471	1740
213	472	1734
214	473	1729
215	474	1723
216	476	1718
217	477	1713
218	479	1709
219	480	1704
220	481	1698
221	483	1693
222	484	1688
223	485	1683
224	487	1678
225	488	1673
226	489	1668
227	491	1663
228	492	1658
229	493	1653
230	495	1649
231	496	1644
232	498	1639
233	499	1635
234	500	1630
235	502	1625
236	503	1621
237	504	1616
238	506	1611
239	507	1606
240	508	1602
241	510	1597
242	511	1593
243	513	1589
244	514	1585
245	516	1581
246	517	1577
247	518	1573
248	520	1568
249	521	1564
250	522	1560
251	524	1555
252	525	1551
253	526	1546
254	528	1543
255	529	1539
256	531	1535
257	532	1531
258	533	1526
259	534	1522
260	536	1518
261	537	1514
262	538	1509
263	540	1505
264	541	1501
265	542	1497
266	544	1494
267	545	1490
268	547	1486
269	548	1482
270	549	1478
271	551	1474
272	552	1470
273	553	1467
274	554	1463
275	556	1459
276	557	1455
277	558	1451
278	560	1448
279	561	1444
280	563	1440
281	564	1436
282	565	1433
283	566	1429
284	568	1425
285	569	1421
286	570	1418
287	572	1414
288	573	1410
289	575	1407
290	576	1405
291	578	1401
292	579	1398
293	580	1394
294	582	1391
295	583	1387
296	584	1384
297	586	1380
298	587	1377
299	588	1373
300	590	1370
301	591	1366
302	593	1364
303	594	1360
304	595	1357
305	596	1353
306	598	1350
307	599	1347
308	600	1343
309	602	1340
310	603	1336
311	604	1333
312	605	1330
313	607	1327
314	609	1324
315	610	1321
316	611	1318
317	613	1314
318	614	1311
319	615	1308
320	616	1305
321	618	1301
322	619	1298
323	620	1295
324	622	1292
